INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-04-15T07:00:00-00:00,2016-04-15T08:00:00-00:00,1,2016-04-15,1,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4122.46,DAM,3
2016-04-15T14:00:00-00:00,2016-04-15T15:00:00-00:00,1,2016-04-15,8,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5003.22,DAM,3
2016-04-15T21:00:00-00:00,2016-04-15T22:00:00-00:00,1,2016-04-15,15,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4847.8,DAM,3
2016-04-15T17:00:00-00:00,2016-04-15T18:00:00-00:00,1,2016-04-15,11,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5015.48,DAM,3
2016-04-15T19:00:00-00:00,2016-04-15T20:00:00-00:00,1,2016-04-15,13,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2294.68,DAM,4
2016-04-15T22:00:00-00:00,2016-04-15T23:00:00-00:00,1,2016-04-15,16,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2160.01,DAM,4
2016-04-16T05:00:00-00:00,2016-04-16T06:00:00-00:00,1,2016-04-15,23,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2060.06,DAM,4
2016-04-15T10:00:00-00:00,2016-04-15T11:00:00-00:00,1,2016-04-15,4,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1775.53,DAM,4
2016-04-15T21:00:00-00:00,2016-04-15T22:00:00-00:00,1,2016-04-15,15,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2196.1,DAM,4
2016-04-15T14:00:00-00:00,2016-04-15T15:00:00-00:00,1,2016-04-15,8,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2636.72,DAM,4
2016-04-15T18:00:00-00:00,2016-04-15T19:00:00-00:00,1,2016-04-15,12,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2364.99,DAM,4
2016-04-15T13:00:00-00:00,2016-04-15T14:00:00-00:00,1,2016-04-15,7,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2453.42,DAM,4
2016-04-15T15:00:00-00:00,2016-04-15T16:00:00-00:00,1,2016-04-15,9,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2600.65,DAM,4
2016-04-16T02:00:00-00:00,2016-04-16T03:00:00-00:00,1,2016-04-15,20,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2156.91,DAM,4
2016-04-15T07:00:00-00:00,2016-04-15T08:00:00-00:00,1,2016-04-15,1,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1829.1,DAM,4
2016-04-15T20:00:00-00:00,2016-04-15T21:00:00-00:00,1,2016-04-15,14,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2243.28,DAM,4
2016-04-15T08:00:00-00:00,2016-04-15T09:00:00-00:00,1,2016-04-15,2,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1772.39,DAM,4
2016-04-15T23:00:00-00:00,2016-04-16T00:00:00-00:00,1,2016-04-15,17,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2153.37,DAM,4
2016-04-16T00:00:00-00:00,2016-04-16T01:00:00-00:00,1,2016-04-15,18,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2160.62,DAM,4
2016-04-16T03:00:00-00:00,2016-04-16T04:00:00-00:00,1,2016-04-15,21,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2258.71,DAM,4
2016-04-15T09:00:00-00:00,2016-04-15T10:00:00-00:00,1,2016-04-15,3,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1752.58,DAM,4
2016-04-15T11:00:00-00:00,2016-04-15T12:00:00-00:00,1,2016-04-15,5,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1865.58,DAM,4
2016-04-15T12:00:00-00:00,2016-04-15T13:00:00-00:00,1,2016-04-15,6,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2099.49,DAM,4
2016-04-15T16:00:00-00:00,2016-04-15T17:00:00-00:00,1,2016-04-15,10,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2531.09,DAM,4
2016-04-15T17:00:00-00:00,2016-04-15T18:00:00-00:00,1,2016-04-15,11,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2453.71,DAM,4
2016-04-16T01:00:00-00:00,2016-04-16T02:00:00-00:00,1,2016-04-15,19,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2148.4,DAM,4
2016-04-16T04:00:00-00:00,2016-04-16T05:00:00-00:00,1,2016-04-15,22,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2210.11,DAM,4
2016-04-16T06:00:00-00:00,2016-04-16T07:00:00-00:00,1,2016-04-15,24,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1897.4,DAM,4
2016-04-15T16:00:00-00:00,2016-04-15T17:00:00-00:00,1,2016-04-15,10,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11662,DAM,5
2016-04-16T02:00:00-00:00,2016-04-16T03:00:00-00:00,1,2016-04-15,20,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11812,DAM,5
2016-04-15T21:00:00-00:00,2016-04-15T22:00:00-00:00,1,2016-04-15,15,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10907,DAM,5
2016-04-15T22:00:00-00:00,2016-04-15T23:00:00-00:00,1,2016-04-15,16,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10880,DAM,5
